isco08,isco_name,feor_08,feor_08_name
4221,Utazási irodai ügyintézők,4221,"Utazásszervező, tanácsadó"
4222,Telefonos ügyfélszolgálati ügyintézők,4225,Ügyfélszolgálati központ tájékoztatója
4223,Telefonközpont-kezelők,4225,Ügyfélszolgálati központ tájékoztatója
4224,Szállodai fogadóportások,4223,Szállodai recepciós
4225,Ügyfélszolgálati ügyintézők,4224,Ügyfél- (vevő)tájékoztató
4226,Recepciósok (általános),4222,Recepciós
4227,Összeírók és piackutatási kérdezők,4226,"Lakossági kérdező, összeíró"
4229,"Máshová nem sorolható, ügyfél-tájékoztatási foglalkozásúak",4229,Egyéb ügyfélkapcsolati foglalkozású
4311,Számviteli és könyvelési nyilvántartók,4121,Könyvelő (analitikus)
4312,"Statisztikai, pénzügyi és biztosítási nyilvántartók",4123,"Pénzügyi, statisztikai, biztosítási adminisztrátor"
4313,Bérszámfejtők,4122,Bérelszámoló
4321,Készletnyilvántartók,4131,Készlet- és anyagnyilvántartó
4322,Termelési nyilvántartók,3161,Munka- és termelésszervező
4323,Szállítmányozási nyilvántartók,3161,Munka- és termelésszervező
4323,Szállítmányozási nyilvántartók,4132,"Szállítási, szállítmányozási nyilvántartó"
4411,Könyvtári nyilvántartók,4133,"Könyvtári, levéltári nyilvántartó"
4412,Postai kézbesítők és válogatók,3161,Munka- és termelésszervező
4412,Postai kézbesítők és válogatók,4135,"Postai szolgáltató (kézbesítő, válogató)"
4413,"Kódolók, korrektúrázók és hasonló irodai foglalkozásúak",4114,"Adatrögzítő, kódoló"
4414,Írnokok és hasonló foglalkozásúak,,
4415,"Iktatók, fénymásolók",4136,"Iratkezelő, irattáros"
4416,Személyzeti nyilvántartási foglalkozásúak,4134,Humánpolitikai adminisztrátor
4419,Máshová nem sorolható egyéb irodai kisegítő foglalkozásúak,4129,Egyéb számviteli foglalkozású
4419,Máshová nem sorolható egyéb irodai kisegítő foglalkozásúak,4190,"Egyéb, máshova nem sorolható irodai, ügyviteli foglalkozású"
5111,Utaskísérők és stewardok,5232,"Utaskísérő (repülőn, hajón)"
5112,Kalauzok,5231,"Kalauz, menetjegyellenőr"
5113,Idegenvezetők,5233,Idegenvezető
5120,Szakácsok,5131,Vendéglős
5120,Szakácsok,5134,Szakács
5131,Felszolgálók,5132,Pincér
5132,Pultosok,5133,Pultos
5141,Fodrászok,5211,Fodrász
5142,Kozmetikusok és hasonló foglalkozásúak,5212,Kozmetikus
5142,Kozmetikusok és hasonló foglalkozásúak,5213,"Manikűrös, pedikűrös"
5151,Takarítási és házvezetői munka irányítói szállodákban és egyéb intézményekben,5241,Vezető takarító
5152,Házvezetők,5242,Házvezető
5153,Épületgondnokok,5243,Épületgondnok
5161,"Asztrológusok, jövendőmondók és hasonló foglalkozások",5219,Egyéb személyi szolgáltatási foglalkozású
